acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,id
0.0488,0.94,209500,0.414,1.76e-05,11,0.0709,-9.27,1,0.0818,129.993,4,0.603,0fWZhv6OuNao2sz5R1WAvR
0.0193,0.668,230045,0.466,0.000919,1,0.0844,-8.137,0,0.0292,95.996,4,0.0623,1B0v4QEGQgH6hqh8lO9A77
0.0818,0.519,184800,0.689,0.0,10,0.222,-3.353,1,0.149,98.412,4,0.515,0k5kd8IQULAW4hJBwndWs5
0.0235,0.804,179548,0.735,0.000514,11,0.169,-6.047,0,0.0349,107.989,4,0.665,5xHPd8gJJX60dj3viJIAM0
0.000621,0.57,268882,0.705,0.725,0,0.0881,-7.966,1,0.0253,107.0,4,0.328,4hrAo8Zh52735DUXhHnzXU
0.116,0.67,253330,0.787,0.00127,0,0.181,-4.838,1,0.0388,154.077,4,0.622,3vZQ54FsR52F1yjam94bpR
0.0223,0.713,210125,0.904,0.737,11,0.724,-6.449,0,0.0358,120.024,4,0.816,7c0ycOx0EPkCTBot3dgcp6
0.00357,0.678,187376,0.644,0.0,2,0.127,-9.232,1,0.0655,164.104,3,0.645,6gGgN7LlSRKldGdmVEfElR
0.808,0.761,180080,0.574,0.0,2,0.0967,-6.732,1,0.0357,133.87,4,0.955,1rbpkoXNhdC3vijbaeUp27
0.775,0.368,235667,0.264,0.0,7,0.273,-7.489,1,0.0361,119.32,3,0.219,3kRn8bo4OKGb0wbEXwUBxY
0.0821,0.795,198079,0.769,0.0,10,0.22,-7.185,0,0.0378,120.019,4,0.178,2G9HnioAMRFEBml9NaxaZ0
0.0425,0.714,219705,0.823,0.0,9,0.31,-4.487,0,0.0516,142.983,4,0.494,2afKNjXGjuObS4kKxykeUe
0.502,0.66,255000,0.684,0.636,3,0.222,-5.823,1,0.0413,169.946,4,0.804,5F2iynEIlALVPgl8RYouu4
0.102,0.423,265424,0.578,0.0,0,0.298,-8.788,1,0.0662,111.044,1,0.125,7DOHo7c4FR3uNyrb1pmttz
